Parameter,GammaZero,GammaExpo,DisplGamma,ScaledBeta,FGMBesselK,TrueAlpha
2Nes1000_p0.0001,0.523314,0.52318,0.551535,0.797296,0.653424,0.470900429
2Nes1000_p0.001,0.854245,0.814072,0.854162,0.959491,0.94966,0.831599939
2Nes1000_p0.01,0.916365,0.929798,0.917293,1,0.99956,0.95124374
2Nes500_p0.0001,0.374696,0.374708,0.440333,0.745988,0.48253,0.341076958
2Nes500_p0.001,0.801824,0.772103,0.805865,0.930046,0.603655,0.764310681
2Nes500_p0.01,0.897591,0.931025,0.908097,0.942612,0.999387,0.933070824
2Nes100_p0.0001,0.0918801,0.0916906,0.163891,0.610537,0.203324,0.102164582
2Nes100_p0.001,0.518058,0.517956,0.549688,0.805138,0.608363,0.500393539
2Nes100_p0.01,0.803252,0.80998,0.819475,0.95337,0.951079,0.853410228
2Nes50_p0.0001,0.0483464,0.0483448,0.111837,0.578625,0.148592,0.053311892
2Nes50_p0.001,0.341102,0.341092,0.35498,0.728714,0.446329,0.34811245
2Nes50_p0.01,0.739201,0.601777,0.739117,0.92528,0.887889,0.789175687
2Nes10_p0.0001,-0.0250084,-0.0252204,0.0362704,0.559806,0.12618,0.010697181
2Nes10_p0.001,0.0614728,0.0612898,0.123595,0.599392,0.198522,0.096247865
2Nes10_p0.01,0.40478,0.343021,0.414519,0.774828,0.588012,0.499907263
