Freq,Pn,Ps
sfs1,62424,47344
sfs2,19793,18923
sfs3,11570,12384
sfs4,7992,8811
sfs5,6096,6924
sfs6,4853,5649
sfs7,3935,4772
sfs8,3319,4056
sfs9,2941,3647
sfs10,2605,3349
sfs11,2345,2965
sfs12,2109,2717
sfs13,1866,2541
sfs14,1696,2379
sfs15,1610,2192
sfs16,1461,2110
sfs17,1313,1916
sfs18,1220,1823
sfs19,1155,1767
sfs20,1143,1635
sfs21,1078,1588
sfs22,1060,1549
sfs23,890,1500
sfs24,913,1469
sfs25,909,1430
sfs26,898,1347
sfs27,837,1250
sfs28,765,1241
sfs29,717,1213
sfs30,706,1150
sfs31,706,1116
sfs32,626,1067
sfs33,633,1092
sfs34,636,1023
sfs35,602,964
sfs36,580,1023
sfs37,550,964
sfs38,479,886
sfs39,528,907
sfs40,514,922
sfs41,498,890
sfs42,467,848
sfs43,485,819
sfs44,484,857
sfs45,439,798
sfs46,438,747
sfs47,391,807
sfs48,411,756
sfs49,394,713
sfs50,365,728
sfs51,374,714
sfs52,368,666
sfs53,337,721
sfs54,333,659
sfs55,348,680
sfs56,351,668
sfs57,371,634
sfs58,339,631
sfs59,343,662
sfs60,309,640
sfs61,355,696
sfs62,345,636
sfs63,346,625
sfs64,329,656
sfs65,328,605
sfs66,308,657
sfs67,311,633
sfs68,325,640
sfs69,328,639
sfs70,299,653
sfs71,276,676
sfs72,336,598
sfs73,308,622
sfs74,292,592
sfs75,308,597
sfs76,335,601
sfs77,304,614
sfs78,320,612
sfs79,286,601
sfs80,332,646
sfs81,311,627
sfs82,308,622
sfs83,354,640
sfs84,302,674
sfs85,324,607
sfs86,287,619
sfs87,289,673
sfs88,293,704
sfs89,301,608
sfs90,287,637
sfs91,286,590
sfs92,267,583
sfs93,314,617
sfs94,323,611
sfs95,286,614
sfs96,284,645
sfs97,257,617
sfs98,317,611
sfs99,278,634
sfs100,301,638
sfs101,253,598
sfs102,256,602
sfs103,284,557
sfs104,291,592
