Freq,Pn,Ps
sfs1,101956,133130
sfs2,22547,40523
sfs3,10593,21657
sfs4,6458,14713
sfs5,4581,11042
sfs6,3498,8973
sfs7,2821,7713
sfs8,2342,6459
sfs9,1934,5776
sfs10,1759,5239
sfs11,1526,4656
sfs12,1317,4205
sfs13,1250,3886
sfs14,1200,3865
sfs15,1100,3576
sfs16,904,3366
sfs17,869,3157
sfs18,789,3048
sfs19,787,2872
sfs20,721,2765
sfs21,717,2538
sfs22,714,2518
sfs23,657,2353
sfs24,548,2353
sfs25,544,2143
sfs26,519,2136
sfs27,515,2023
sfs28,504,1920
sfs29,483,1852
sfs30,449,1744
sfs31,454,1737
sfs32,424,1722
sfs33,423,1701
sfs34,386,1641
sfs35,382,1499
sfs36,339,1511
sfs37,351,1505
sfs38,313,1390
sfs39,312,1398
sfs40,321,1303
sfs41,304,1253
sfs42,275,1271
sfs43,270,1198
sfs44,282,1198
sfs45,271,1200
sfs46,262,1158
sfs47,262,1089
sfs48,282,1103
sfs49,253,1056
sfs50,246,1044
sfs51,224,989
sfs52,235,980
sfs53,194,924
sfs54,221,910
sfs55,228,968
sfs56,202,859
sfs57,181,882
sfs58,218,876
sfs59,197,845
sfs60,192,803
sfs61,188,765
sfs62,159,712
sfs63,190,735
sfs64,162,715
sfs65,169,725
sfs66,146,689
sfs67,145,606
sfs68,165,641
sfs69,157,577
sfs70,147,616
sfs71,133,602
sfs72,141,566
sfs73,127,548
sfs74,124,532
sfs75,126,544
sfs76,155,483
sfs77,130,502
sfs78,111,523
sfs79,104,515
sfs80,115,502
sfs81,110,414
sfs82,92,469
sfs83,105,439
sfs84,119,420
sfs85,101,378
sfs86,118,412
sfs87,115,362
sfs88,95,367
sfs89,89,381
sfs90,87,325
sfs91,102,329
sfs92,88,335
sfs93,80,321
sfs94,79,303
sfs95,64,305
sfs96,73,270
sfs97,75,270
sfs98,70,266
sfs99,60,228
sfs100,74,215
sfs101,66,244
sfs102,51,251
sfs103,48,233
sfs104,58,200
sfs105,72,211
sfs106,55,199
sfs107,50,165
sfs108,52,146
sfs109,67,203
