freq,Pn,Ps
0.0008,95425,56032
0.0015,19996,14178
0.0023,9298,6953
0.003,5582,4398
0.0038,4036,3253
0.0045,3175,2629
0.0053,2500,2029
0.0061,2063,1820
0.0068,1637,1581
0.0076,1588,1437
0.0083,1344,1278
0.0091,1253,1063
0.0098,1135,990
0.0106,1039,947
0.0113,906,841
0.0121,906,826
0.0129,842,756
0.0136,769,704
0.0144,712,699
0.0151,588,613
0.0159,639,569
0.0166,585,572
0.0174,563,572
0.0182,543,496
0.0189,507,467
0.0197,490,474
0.0204,483,476
0.0212,448,444
0.0219,417,441
0.0227,407,423
0.0234,404,353
0.0242,405,385
0.025,359,345
0.0257,354,362
0.0265,304,356
0.0272,325,333
0.028,303,316
0.0287,294,293
0.0295,286,298
0.0303,274,253
0.031,272,258
0.0318,263,280
0.0325,257,244
0.0333,269,250
0.034,241,241
0.0348,212,260
0.0356,222,237
0.0363,200,203
0.0371,226,242
0.0378,188,193
0.0386,213,195
0.0393,234,178
0.0401,194,201
0.0408,199,190
0.0416,174,215
0.0424,190,186
0.0431,181,217
0.0439,164,157
0.0446,176,177
0.0454,152,182
0.0461,153,194
0.0469,160,178
0.0477,153,184
0.0484,146,207
0.0492,133,172
0.0499,153,153
0.0507,139,153
0.0514,138,141
0.0522,145,170
0.053,125,152
0.0537,125,157
0.0545,125,158
0.0552,135,162
0.056,119,140
0.0567,134,159
0.0575,138,127
0.0582,141,133
0.059,132,115
0.0598,102,129
0.0605,119,123
0.0613,120,101
0.062,94,110
0.0628,120,108
0.0635,111,99
0.0643,99,135
0.0651,84,91
0.0658,129,118
0.0666,102,119
0.0673,99,102
0.0681,109,105
0.0688,87,106
0.0696,105,98
0.0703,85,115
0.0711,91,97
0.0719,100,86
0.0726,79,96
0.0734,82,94
0.0741,70,87
0.0749,85,86
0.0756,95,93
0.0764,74,86
0.0772,91,111
0.0779,65,78
0.0787,71,87
0.0794,77,107
0.0802,73,81
0.0809,73,88
0.0817,79,81
0.0825,71,92
0.0832,66,84
0.084,54,68
0.0847,56,69
0.0855,75,71
0.0862,64,76
0.087,84,73
0.0877,49,76
0.0885,64,69
0.0893,75,77
0.09,54,63
0.0908,77,78
0.0915,58,77
0.0923,77,95
0.093,62,86
0.0938,69,69
0.0946,65,65
0.0953,62,77
0.0961,61,57
0.0968,68,70
0.0976,45,64
0.0983,57,61
0.0991,56,67
0.0998,55,63
0.1006,73,71
0.1014,60,70
0.1021,71,75
0.1029,58,66
0.1036,40,79
0.1044,57,59
0.1051,49,73
0.1059,54,55
0.1067,60,80
0.1074,43,67
0.1082,48,51
0.1089,63,65
0.1097,48,54
0.1104,44,62
0.1112,35,65
0.112,44,65
0.1127,47,60
0.1135,58,61
0.1142,47,59
0.115,51,66
0.1157,38,56
0.1165,48,61
0.1172,56,47
0.118,42,52
0.1188,33,52
0.1195,43,49
0.1203,52,52
0.121,47,60
0.1218,42,56
0.1225,50,38
0.1233,46,60
0.1241,45,48
0.1248,47,64
0.1256,53,56
0.1263,46,52
0.1271,40,42
0.1278,40,44
0.1286,40,40
0.1293,47,43
0.1301,45,41
0.1309,41,39
0.1316,40,33
0.1324,23,48
0.1331,31,39
0.1339,47,50
0.1346,38,38
0.1354,37,59
0.1362,51,54
0.1369,38,58
0.1377,40,53
0.1384,34,39
0.1392,38,43
0.1399,37,42
0.1407,42,39
0.1415,39,43
0.1422,29,57
0.143,38,41
0.1437,37,31
0.1445,39,35
0.1452,36,45
0.146,43,40
0.1467,38,41
0.1475,23,38
0.1483,28,45
0.149,49,34
0.1498,24,38
0.1505,30,45
0.1513,30,36
0.152,21,37
0.1528,24,50
0.1536,35,44
0.1543,40,29
0.1551,28,38
0.1558,26,43
0.1566,31,55
0.1573,32,44
0.1581,30,40
0.1589,17,38
0.1596,30,31
0.1604,30,38
0.1611,31,45
0.1619,33,39
0.1626,39,36
0.1634,33,41
0.1641,36,31
0.1649,27,32
0.1657,28,27
0.1664,25,37
0.1672,31,46
0.1679,25,41
0.1687,21,33
0.1694,32,36
0.1702,30,38
0.171,29,35
0.1717,31,40
0.1725,33,31
0.1732,24,26
0.174,25,31
0.1747,28,52
0.1755,26,28
0.1762,24,33
0.177,22,42
0.1778,26,26
0.1785,29,35
0.1793,27,27
0.18,19,28
0.1808,34,26
0.1815,19,33
0.1823,29,37
0.1831,24,30
0.1838,29,28
0.1846,17,32
0.1853,20,34
0.1861,30,26
0.1868,18,30
0.1876,19,35
0.1884,20,32
0.1891,19,26
0.1899,25,26
0.1906,31,34
0.1914,23,33
0.1921,24,41
0.1929,26,25
0.1936,28,23
0.1944,16,29
0.1952,19,22
0.1959,20,26
0.1967,18,24
0.1974,22,26
0.1982,40,35
0.1989,26,41
0.1997,22,32
0.2005,20,22
0.2012,26,26
0.202,28,40
0.2027,21,28
0.2035,26,30
0.2042,24,23
0.205,24,24
0.2057,24,39
0.2065,17,27
0.2073,17,31
0.208,21,33
0.2088,20,28
0.2095,22,32
0.2103,21,24
0.211,19,24
0.2118,22,30
0.2126,24,31
0.2133,26,27
0.2141,19,22
0.2148,19,17
0.2156,24,38
0.2163,20,28
0.2171,18,31
0.2179,23,25
0.2186,19,28
0.2194,20,25
0.2201,16,32
0.2209,20,22
0.2216,24,29
0.2224,26,24
0.2231,20,26
0.2239,27,19
0.2247,17,23
0.2254,16,18
0.2262,23,21
0.2269,22,26
0.2277,17,19
0.2284,18,20
0.2292,21,22
0.23,18,30
0.2307,9,17
0.2315,11,25
0.2322,14,25
0.233,26,24
0.2337,24,18
0.2345,15,20
0.2352,11,30
0.236,18,22
0.2368,22,26
0.2375,25,19
0.2383,17,22
0.239,17,30
0.2398,18,28
0.2405,15,26
0.2413,24,31
0.2421,15,16
0.2428,18,18
0.2436,15,21
0.2443,18,22
0.2451,18,28
0.2458,26,27
0.2466,15,31
0.2474,10,19
0.2481,17,25
0.2489,25,18
0.2496,17,19
0.2504,20,18
0.2511,22,28
0.2519,21,23
0.2526,25,23
0.2534,24,19
0.2542,11,19
0.2549,12,29
0.2557,19,20
0.2564,13,23
0.2572,15,21
0.2579,27,18
0.2587,15,19
0.2595,17,18
0.2602,18,18
0.261,10,17
0.2617,18,13
0.2625,15,20
0.2632,18,27
0.264,17,26
0.2648,16,23
0.2655,11,22
0.2663,16,21
0.267,11,25
0.2678,13,20
0.2685,13,21
0.2693,19,14
0.27,13,17
0.2708,15,16
0.2716,9,29
0.2723,18,20
0.2731,9,16
0.2738,16,20
0.2746,9,11
0.2753,17,14
0.2761,9,14
0.2769,15,18
0.2776,17,16
0.2784,17,21
0.2791,10,26
0.2799,13,28
0.2806,13,24
0.2814,20,21
0.2821,15,27
0.2829,13,26
0.2837,13,16
0.2844,12,13
0.2852,19,23
0.2859,19,21
0.2867,14,22
0.2874,14,16
0.2882,16,13
0.289,9,24
0.2897,19,16
0.2905,13,16
0.2912,8,13
0.292,19,23
0.2927,10,19
0.2935,14,21
0.2943,16,16
0.295,17,27
0.2958,14,19
0.2965,21,10
0.2973,6,21
0.298,15,14
0.2988,11,14
0.2995,11,12
0.3003,15,20
0.3011,16,20
0.3018,17,15
0.3026,19,18
0.3033,16,23
0.3041,9,16
0.3048,10,13
0.3056,15,17
0.3064,12,16
0.3071,10,14
0.3079,8,13
0.3086,16,21
0.3094,11,13
0.3101,6,16
0.3109,10,19
0.3116,9,12
0.3124,14,19
0.3132,9,15
0.3139,12,15
0.3147,5,17
0.3154,11,18
0.3162,7,22
0.3169,18,12
0.3177,18,22
0.3185,10,19
0.3192,13,13
0.32,9,20
0.3207,7,7
0.3215,9,19
0.3222,15,16
0.323,9,16
0.3238,18,10
0.3245,14,17
0.3253,10,12
0.326,17,14
0.3268,7,6
0.3275,15,14
0.3283,16,9
0.329,7,13
0.3298,14,23
0.3306,12,21
0.3313,16,20
0.3321,15,19
0.3328,11,12
0.3336,9,7
0.3343,13,22
0.3351,10,13
0.3359,10,17
0.3366,11,11
0.3374,7,10
0.3381,12,16
0.3389,13,21
0.3396,17,22
0.3404,10,20
0.3411,13,12
0.3419,11,8
0.3427,16,11
0.3434,11,13
0.3442,9,9
0.3449,15,15
0.3457,14,13
0.3464,7,13
0.3472,11,17
0.348,9,23
0.3487,7,12
