parameter	Dn_d	Dn_a	Dn	Ds
2Nes1000_p0.0001	201679	179495	381174	911034
2Nes1000_p0.001	342261	1690167	2032428	935823
2Nes1000_p0.01	526215	10266553	10792768	942194
2Nes100_p0.0001	156042	17756	173798	883553
2Nes100_p0.001	175829	176106	351935	896967
2Nes100_p0.01	253650	1476689	1730339	925925
2Nes10_p0.0001	153891	1664	155555	881504
2Nes10_p0.001	154538	16458	170996	882422
2Nes10_p0.01	159082	159023	318105	885354
2Nes500_p0.0001	175120	90647	265767	896833
2Nes500_p0.001	266756	865056	1131812	928121
2Nes500_p0.01	423334	5901770	6325104	940720
2Nes50_p0.0001	154242	8686	162928	881487
2Nes50_p0.001	162320	86680	249000	887819
2Nes50_p0.01	206693	773711	980404	909921
